epoch,batch,iteration,global_gradient_norm(average)
1,1,1,0.8375621584511038
1,2,2,0.8076349427799567
1,3,3,0.9713766435079909
1,4,4,0.953394494557355
1,5,5,1.6923159479255012
1,6,6,2.7487776040210403
1,7,7,3.1674916233532597
1,8,8,1.2930692079760993
1,9,9,0.6975220804210973
1,10,10,0.4644419225745226
1,11,11,0.40279598117446586
1,12,12,0.35631903604319753
1,13,13,0.33885931864005014
1,14,14,0.3402121160010872
1,15,15,0.3358669361945049
1,16,16,0.3515236997753539
1,17,17,0.37494645266191146
1,18,18,0.3638329022888819
1,19,19,0.5297096880056514
1,20,20,0.8593518566906874
1,21,21,0.9748745688389345
1,22,22,1.048697453641627
1,23,23,0.9753403209465041
1,24,24,0.7599790260953541
2,1,25,0.6408531974046849
2,2,26,0.613902882666048
2,3,27,0.4974216228356736
2,4,28,0.4285578868168127
2,5,29,0.4274545104460446
2,6,30,0.45636333999968204
2,7,31,0.41212414552457777
2,8,32,0.46281368285691504
2,9,33,0.3907655317482486
2,10,34,0.31159857464721746
2,11,35,0.2949900423891996
2,12,36,0.24910976143998412
2,13,37,0.32310429626774
2,14,38,0.3056997138383507
2,15,39,0.382224633176232
2,16,40,0.4003736353122999
2,17,41,0.43445097001464517
2,18,42,0.5864736029578231
2,19,43,0.4482237194088423
2,20,44,0.41681768475006703
2,21,45,0.5440169186459409
2,22,46,0.39112086398396856
2,23,47,0.3037731261692054
2,24,48,0.30223352478648663
3,1,49,0.48274760427893865
3,2,50,0.44534249068345483
3,3,51,0.3849889424655464
3,4,52,0.31868173500999497
3,5,53,0.33213929700518696
3,6,54,0.38135809168995266
3,7,55,0.5301058931309494
3,8,56,0.45706353206641603
3,9,57,0.32041948124008957
3,10,58,0.3552981974818379
3,11,59,0.397546244852093
3,12,60,0.4892972173797009
3,13,61,0.5655676542623546
3,14,62,0.5211731670109064
3,15,63,0.4781974764189747
3,16,64,0.39441636693953924
3,17,65,0.40637806002935034
3,18,66,0.37574990089844934
3,19,67,0.42591579900014714
3,20,68,0.40258252927078486
3,21,69,0.4745034224634933
3,22,70,0.44768804858476546
3,23,71,0.42716501232086834
3,24,72,0.31850003011075545
4,1,73,0.45754042778275633
4,2,74,0.31836464398528436
4,3,75,0.2660315076207873
4,4,76,0.2038055362224082
4,5,77,0.23339443044827726
4,6,78,0.24118832982554728
4,7,79,0.26213398693990914
4,8,80,0.3168659614986639
4,9,81,0.27786910152053884
4,10,82,0.28794635458484097
4,11,83,0.24445328303089767
4,12,84,0.28221766244617935
4,13,85,0.25906350059274685
4,14,86,0.2521941108938478
4,15,87,0.3666238733873064
4,16,88,0.27797078209064413
4,17,89,0.3108037733177244
4,18,90,0.29710679287230296
4,19,91,0.27022686378302196
4,20,92,0.2944412426770869
4,21,93,0.2810314269303508
4,22,94,0.3107970456380146
4,23,95,0.2545182187460818
4,24,96,0.26456267517936183
5,1,97,0.3267608108228256
5,2,98,0.2571928438890285
5,3,99,0.3171700245995264
5,4,100,0.3015741167323754
5,5,101,0.2194147060741629
5,6,102,0.24001180567107747
5,7,103,0.25107037048157516
5,8,104,0.27150883027524175
5,9,105,0.23065626001515258
5,10,106,0.2728394672793711
5,11,107,0.23544985172796426
5,12,108,0.26643341682746213
5,13,109,0.2330520497082538
5,14,110,0.2189261672003566
5,15,111,0.22394304921521727
5,16,112,0.2668061928283244
5,17,113,0.23428426927178472
5,18,114,0.2350614635868601
5,19,115,0.20884767583327155
5,20,116,0.22157587860433442
5,21,117,0.23907306060799757
5,22,118,0.23891618664994818
5,23,119,0.22887231935545282
5,24,120,0.22839115303138788
6,1,121,0.3612196549010633
6,2,122,0.33393416153934286
6,3,123,0.3013676091706978
6,4,124,0.284484094858564
6,5,125,0.2910024780473144
6,6,126,0.32141704811158517
6,7,127,0.33000761756574226
6,8,128,0.22954568793832958
6,9,129,0.2015082889893449
6,10,130,0.26355878063974053
6,11,131,0.2256900705321304
6,12,132,0.2724350913432778
6,13,133,0.255009313734863
6,14,134,0.2784441029734557
6,15,135,0.24264200612610734
6,16,136,0.221339795784417
6,17,137,0.32187638470901314
6,18,138,0.2395209565066337
6,19,139,0.26019621975076873
6,20,140,0.19865742793652003
6,21,141,0.21202808431482237
6,22,142,0.2082179046231298
6,23,143,0.20642301050547432
6,24,144,0.23999388735435898
7,1,145,0.461516043183153
7,2,146,0.286046129470709
7,3,147,0.3630646846952144
7,4,148,0.37914758098529455
7,5,149,0.2773877088900703
7,6,150,0.23403856662163688
7,7,151,0.2133934419569927
7,8,152,0.20819499214487922
7,9,153,0.1946377768317306
7,10,154,0.20664378485615467
7,11,155,0.21265666290760074
7,12,156,0.22955353059620606
7,13,157,0.2281244187240821
7,14,158,0.2648081251844182
7,15,159,0.1837181721115792
7,16,160,0.1830002969731615
7,17,161,0.22140528157513614
7,18,162,0.25032353310976635
7,19,163,0.26785087298527244
7,20,164,0.23267574815279313
7,21,165,0.2145855343534659
7,22,166,0.21639363505599174
7,23,167,0.1923309093586731
7,24,168,0.16919205691489528
8,1,169,0.31833439553146997
8,2,170,0.23690578184907363
8,3,171,0.23647395057045423
8,4,172,0.20575490274325342
8,5,173,0.19958454729086186
